TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Remove extraneous items,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Each bag has appropriate iPad,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,"Gym bag has gym clothes and flip flops, and membership",4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,12 wat charger,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,2m lightning cable,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Micro USB,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Logitec keyboard,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,iPad stand,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Umbrells,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Caffeine pills,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Asprin,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Screen Cleaner,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,50 £ note,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Small pack of almonds,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Batteries,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Noise canceling head phones,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
