TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Book flights,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Book hotel,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Confirm flights,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Confirm hotel,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Add flight schedule to calendar,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Check all bills are up to date/autopay,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Pack identification,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Determine transport time to airport,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Pack toiletries,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Toothbrush,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Toothpaste,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Deoderant,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Cologne,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Glasses,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Pack clothes,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Clothes,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Socks,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Shoes,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Underwear,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Jacket,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Pack electronics,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Phone,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Phone charger,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Laptop,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Laptop charger,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Tablet,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Tablet charger,4,2,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Prep clothes for flight night before,4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
task,Check the stove ; ),4,1,Will (2271573),,,en,America/New_York
,,,,,,,,
